date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:51	114914/114914	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202018%2006:24:45%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/laminate.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/laminate.jpg	(from https://mobiledirectflooring.com/)
13:56:52	110866/110866	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202018%2006:24:44%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/hardwood.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/hardwood.jpg	(from https://mobiledirectflooring.com/)
13:56:53	66766/66766	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202018%2006:25:07%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/vinyl.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/vinyl.jpg	(from https://mobiledirectflooring.com/)
13:56:54	65919/65919	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Apr%202018%2009:08:05%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/tiles-1.jpg	mobiledirectflooring.com/wp-content/uploads/2018/04/tiles-1.jpg	(from https://mobiledirectflooring.com/)
13:56:55	101775/101775	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2018:58:27%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/0-Financing-van-1.png	mobiledirectflooring.com/wp-content/uploads/2018/04/0-Financing-van-1.png	(from https://mobiledirectflooring.com/)
13:56:56	100886/100886	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2000:28:13%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/Carpet-2-1.png	mobiledirectflooring.com/wp-content/uploads/2018/04/Carpet-2-1.png	(from https://mobiledirectflooring.com/)
13:56:57	100476/100476	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2000:28:16%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/Laminate-1.png	mobiledirectflooring.com/wp-content/uploads/2018/04/Laminate-1.png	(from https://mobiledirectflooring.com/)
13:56:58	82775/82775	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Mar%202018%2001:33:56%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/sponsors.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/sponsors.jpg	(from https://mobiledirectflooring.com/)
13:57:00	388190/388190	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Apr%202018%2012:59:10%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/img-1068-sml-png-a17b9aef1b98b9ee35c16a-original.png	mobiledirectflooring.com/wp-content/uploads/2018/04/img-1068-sml-png-a17b9aef1b98b9ee35c16a-original.png	(from https://mobiledirectflooring.com/)
13:57:01	75381/75381	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Apr%202018%2008:44:52%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/logonew-update-white.png	mobiledirectflooring.com/wp-content/uploads/2018/04/logonew-update-white.png	(from https://mobiledirectflooring.com/)
